WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94702,20141001,0252,11,OVC029, , 6.00, ,RA BR, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 9, ,010, , , ,29.97, , , , , ,29.99, ,AA, ,0.05, ,29.99,
94702,20141001,0352,11,BKN024 OVC039, , 5.00, ,-RA BR, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 8, ,020, , , ,29.96, , , , , ,29.98, ,AA, ,0.09, ,29.98,
94702,20141001,0409,11,FEW007 OVC023, , 7.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,11, ,010, , , ,29.97, , , , , ,M, ,SP, , , ,29.99,
94702,20141001,0452,11,FEW007 OVC023, ,10.00, ,-RA, ,59, ,15.0, ,58, ,14.6, ,58, ,14.4, , 97, ,10, ,020, , , ,29.97, , , , , ,29.99, ,AA, ,0.02, ,29.99,
94702,20141001,0529,11,FEW008 SCT026 OVC035, ,10.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 8, ,020, , , ,29.98, , , , , ,M, ,SP, , , ,30.00,
94702,20141001,0548,11,BKN029 BKN036 OVC043, ,10.00, ,-RA, ,59, ,15.0, ,58, ,14.3, ,57, ,14.0, , 93, , 9, ,010, , , ,29.99, , , , , ,M, ,SP, , , ,30.01,
94702,20141001,0552,11,SCT028 BKN037 OVC045, ,10.00, ,-RA, ,59, ,15.0, ,58, ,14.6, ,58, ,14.4, , 97, ,11, ,360, , , ,29.99, , , , , ,30.01, ,AA, ,0.02, ,30.01,
94702,20141001,0601,11,BKN029 OVC044, ,10.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,10, ,010, , , ,29.99, , , , , ,M, ,SP, , , ,30.01,
94702,20141001,0613,11,BKN031 OVC042, ,10.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 9, ,020, , , ,29.99, , , , , ,M, ,SP, , , ,30.01,
94702,20141001,0652,11,OVC038, ,10.00, , , ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,10, ,020, , , ,30.00, , , , , ,30.02, ,AA, ,  T, ,30.02,
94702,20141001,0752,11,BKN032 OVC042, ,10.00, , , ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,10, ,360, , , ,30.00, , , , , ,30.02, ,AA, ,  T, ,30.02,
94702,20141001,0852,11,FEW023 SCT029 OVC043, ,10.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,11, ,360, , , ,30.02, , , , , ,30.03, ,AA, ,0.02, ,30.04,
94702,20141001,0908,11,FEW010 BKN026 OVC045, ,10.00, ,-RA, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,10, ,010, , , ,30.02, , , , , ,M, ,SP, , , ,30.04,
94702,20141001,0952,11,FEW011 OVC023, ,10.00, ,-RA, ,61, ,16.1, ,59, ,15.1, ,58, ,14.4, , 90, ,11, ,010, , , ,30.03, , , , , ,30.04, ,AA, ,0.02, ,30.05,
94702,20141001,1052,11,FEW010 OVC024, ,10.00, ,-RA, ,62, ,16.7, ,60, ,15.6, ,59, ,15.0, , 90, ,11, ,010, , , ,30.03, , , , , ,30.04, ,AA, ,  T, ,30.05,
94702,20141001,1152,11,FEW011 OVC024, , 6.00, ,-RA BR, ,61, ,16.1, ,60, ,15.4, ,59, ,15.0, , 93, ,11, ,360, , , ,30.02, , , , , ,30.04, ,AA, ,0.05, ,30.04,
94702,20141001,1206,11,FEW009 BKN021 OVC026, , 5.00, ,-RA BR, ,61, ,16.1, ,60, ,15.4, ,59, ,15.0, , 93, , 8, ,010, , , ,30.02, , , , , ,M, ,SP, , , ,30.04,
94702,20141001,1252,11,SCT011 OVC025, ,10.00, ,-RA, ,62, ,16.7, ,61, ,16.0, ,60, ,15.6, , 93, ,10, ,020, , , ,30.01, , , , , ,30.03, ,AA, ,0.03, ,30.03,
94702,20141001,1352,11,BKN014 BKN023 OVC090, ,10.00, , , ,63, ,17.2, ,61, ,15.9, ,59, ,15.0, , 87, ,13, ,030, , , ,30.01, , , , , ,30.03, ,AA, ,  T, ,30.03,
94702,20141001,1408,11,SCT015 BKN028 OVC050, ,10.00, , , ,64, ,17.8, ,62, ,16.4, ,60, ,15.6, , 87, ,14, ,020, , , ,30.01, , , , , ,M, ,SP, , , ,30.03,
94702,20141001,1422,11,SCT015 OVC031, ,10.00, , , ,64, ,17.8, ,62, ,16.4, ,60, ,15.6, , 87, ,11, ,020, , , ,30.01, , , , , ,M, ,SP, , , ,30.03,
94702,20141001,1438,11,BKN016 OVC032, ,10.00, , , ,64, ,17.8, ,61, ,16.1, ,59, ,15.0, , 84, ,11, ,020, , , ,30.01, , , , , ,M, ,SP, , , ,30.03,
94702,20141001,1452,11,BKN016 OVC036, ,10.00, , , ,64, ,17.8, ,61, ,16.1, ,59, ,15.0, , 84, ,11, ,040, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03,
94702,20141001,1552,11,SCT016 BKN022 OVC027, ,10.00, , , ,64, ,17.8, ,61, ,16.1, ,59, ,15.0, , 84, ,11, ,030, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03,
94702,20141001,1650,11,SCT019 OVC031, ,10.00, , , ,63, ,17.0, ,60, ,15.3, ,57, ,14.0, , 81, ,14, ,020, , , ,30.02, , , , , ,M, ,SP, , , ,30.04,
94702,20141001,1652,11,SCT019 OVC031, ,10.00, , , ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, ,13, ,030, , , ,30.02, , , , , ,30.04, ,AA, , , ,30.04,
94702,20141001,1700,11,BKN021 OVC031, ,10.00, , , ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, ,10, ,030, , , ,30.02, , , , , ,M, ,SP, , , ,30.04,
94702,20141001,1712,11,SCT022 OVC030, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, ,13, ,030, , , ,30.02, , , , , ,M, ,SP, , , ,30.04,
94702,20141001,1750,11,SCT022 OVC029, ,10.00, , , ,61, ,16.0, ,59, ,14.8, ,57, ,14.0, , 87, ,14, ,020, , , ,30.03, , , , , ,M, ,SP, , , ,30.05,
94702,20141001,1752,11,FEW022 OVC029, ,10.00, , , ,61, ,16.1, ,59, ,14.8, ,57, ,13.9, , 87, ,11, ,030, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.05,
94702,20141001,1849,11,SCT008 OVC024, , 5.00, ,-RA BR, ,61, ,16.0, ,59, ,14.8, ,57, ,14.0, , 87, , 9, ,030, , , ,30.05, , , , , ,M, ,SP, , , ,30.07,
94702,20141001,1852,11,FEW007 SCT011 OVC024, , 4.00, ,-RA BR, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,10, ,030, , , ,30.05, , , , , ,30.06, ,AA, ,0.02,s,30.07,
94702,20141001,1918,11,SCT006 OVC025, , 2.50, ,RA BR, ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,10, ,020, , , ,30.05, , , , , ,M, ,SP, , , ,30.07,
94702,20141001,1937,11,FEW005 OVC026, , 6.00, ,-RA BR, ,59, ,15.0, ,58, ,14.6, ,58, ,14.4, , 97, , 8, ,360, , , ,30.05, , , , , ,M, ,SP, , , ,30.07,
94702,20141001,1952,11,OVC025, ,10.00, , , ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 9, ,010, , , ,30.05, , , , , ,30.07, ,AA, ,0.09, ,30.07,
94702,20141001,2052,11,OVC018, ,10.00, , , ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, ,11, ,030, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.08,
94702,20141001,2152,11,OVC017, ,10.00, , , ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 9, ,020, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.08,
94702,20141001,2252,11,BKN026 OVC033, , 9.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 8, ,030, , , ,30.06, , , , , ,30.08, ,AA, ,  T, ,30.08,
94702,20141001,2350,11,FEW023 OVC030, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,14.0, , 93, , 7, ,010, , , ,30.05, , , , , ,M, ,SP, , , ,30.07,
94702,20141001,2352,11,OVC030, ,10.00, , , ,59, ,15.0, ,58, ,14.3, ,57, ,13.9, , 93, , 9, ,030, , , ,30.06, , , , , ,30.07, ,AA, ,  T, ,30.08,
94702,20141002,0052,11,OVC037, ,10.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, ,11, ,030, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.08,
94702,20141002,0152,11,OVC042, ,10.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, ,10, ,030, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.08,
94702,20141002,0252,11,OVC047, ,10.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 9, ,020, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.08,
94702,20141002,0352,11,BKN050 OVC065, ,10.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, ,11, ,020, , , ,30.07, , , , , ,30.09, ,AA, , , ,30.09,
94702,20141002,0434,11,BKN022 OVC049, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, ,13, ,030, , , ,30.08, , , , , ,M, ,SP, , , ,30.10,
94702,20141002,0452,11,BKN021 OVC030, ,10.00, , , ,59, ,15.0, ,57, ,14.0, ,56, ,13.3, , 90, , 9, ,010, , , ,30.08, , , , , ,30.10, ,AA, , , ,30.10,
94702,20141002,0503,11,SCT021 OVC031, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, , 8, ,350, , , ,30.08, , , , , ,M, ,SP, , , ,30.10,
94702,20141002,0552,11,FEW012 SCT029 OVC042, ,10.00, , , ,60, ,15.6, ,58, ,14.3, ,56, ,13.3, , 87, ,14, ,020, ,17, ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141002,0638,11,BKN015 OVC035, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, ,13, ,020, , , ,30.10, , , , , ,M, ,SP, , , ,30.12,
94702,20141002,0652,11,BKN015 OVC041, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, ,13, ,020, , , ,30.11, , , , , ,30.12, ,AA, , , ,30.13,
94702,20141002,0707,11,SCT015 OVC043, ,10.00, , , ,60, ,15.6, ,57, ,14.0, ,55, ,12.8, , 84, ,11, ,020, , , ,30.10, , , , , ,M, ,SP, , , ,30.12,
94702,20141002,0730,11,BKN017 OVC043, ,10.00, , , ,60, ,15.6, ,58, ,14.3, ,56, ,13.3, , 87, , 9, ,020, , , ,30.11, , , , , ,M, ,SP, , , ,30.13,
94702,20141002,0752,11,OVC018, ,10.00, , , ,60, ,15.6, ,57, ,14.0, ,55, ,12.8, , 84, ,11, ,020, , , ,30.11, , , , , ,30.13, ,AA, , , ,30.13,
94702,20141002,0852,11,BKN017 OVC036, ,10.00, , , ,61, ,16.1, ,58, ,14.2, ,55, ,12.8, , 81, , 9, ,360, , , ,30.13, , , , , ,30.14, ,AA, , , ,30.15,
94702,20141002,0952,11,BKN016 OVC048, ,10.00, , , ,61, ,16.1, ,58, ,14.5, ,56, ,13.3, , 84, ,11, ,030, , , ,30.13, , , , , ,30.14, ,AA, ,  T, ,30.15,
94702,20141002,1041,11,SCT019 BKN038 OVC045, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, ,13, ,020, , , ,30.12, , , , , ,M, ,SP, , , ,30.14,
94702,20141002,1052,11,FEW019 BKN040 OVC049, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, ,13, ,030, , , ,30.12, , , , , ,30.14, ,AA, , , ,30.14,
94702,20141002,1152,11,SCT042 OVC050, ,10.00, , , ,65, ,18.3, ,59, ,15.1, ,55, ,12.8, , 70, ,11, ,020, , , ,30.10, , , , , ,30.12, ,AA, , , ,30.12,
94702,20141002,1252,11,FEW023 OVC042, ,10.00, , , ,65, ,18.3, ,59, ,15.1, ,55, ,12.8, , 70, , 9, ,050, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141002,1352,11,FEW022 OVC041, ,10.00, , , ,65, ,18.3, ,59, ,15.1, ,55, ,12.8, , 70, ,14, ,050, , , ,30.10, , , , , ,30.11, ,AA, , , ,30.12,
94702,20141002,1452,11,OVC045, ,10.00, , , ,65, ,18.3, ,60, ,15.4, ,56, ,13.3, , 73, , 9, ,060, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141002,1552,11,FEW025 OVC048, ,10.00, , , ,65, ,18.3, ,59, ,15.1, ,55, ,12.8, , 70, , 7, ,040, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141002,1607,11,BKN023 OVC048, ,10.00, , , ,65, ,18.3, ,59, ,15.1, ,55, ,12.8, , 70, , 6, ,030, , , ,30.09, , , , , ,M, ,SP, , , ,30.11,
94702,20141002,1629,11,SCT023 OVC050, ,10.00, , , ,65, ,18.3, ,59, ,15.1, ,55, ,12.8, , 70, , 7, ,050, , , ,30.09, , , , , ,M, ,SP, , , ,30.11,
94702,20141002,1652,11,FEW022 OVC050, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, , 8, ,010, , , ,30.10, , , , , ,30.12, ,AA, , , ,30.12,
94702,20141002,1713,11,BKN026 OVC050, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, , 7, ,030, , , ,30.10, , , , , ,M, ,SP, , , ,30.12,
94702,20141002,1733,11,SCT026, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, , 8, ,030, , , ,30.11, , , , , ,M, ,SP, , , ,30.13,
94702,20141002,1743,11,BKN027, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, , 9, ,040, , , ,30.11, , , , , ,M, ,SP, , , ,30.13,
94702,20141002,1752,11,BKN027, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, , 9, ,030, , , ,30.11, , , , , ,30.12, ,AA, , , ,30.13,
94702,20141002,1852,11,OVC027, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, , 6, ,360, , , ,30.12, , , , , ,30.14, ,AA, , , ,30.14,
94702,20141002,1952,11,OVC027, ,10.00, , , ,63, ,17.2, ,58, ,14.7, ,55, ,12.8, , 75, , 5, ,350, , , ,30.12, , , , , ,30.14, ,AA, , , ,30.14,
94702,20141002,2021,11,SCT027, ,10.00, , , ,61, ,16.1, ,57, ,13.9, ,54, ,12.2, , 78, , 5, ,010, , , ,30.12, , , , , ,M, ,SP, , , ,30.14,
94702,20141002,2043,11,BKN027, ,10.00, , , ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, , 78, , 7, ,020, , , ,30.12, , , , , ,M, ,SP, , , ,30.14,
94702,20141002,2052,11,OVC026, ,10.00, , , ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, , 78, , 6, ,040, , , ,30.12, , , , , ,30.14, ,AA, , , ,30.14,
94702,20141002,2152,11,OVC021, ,10.00, , , ,61, ,16.1, ,58, ,14.2, ,55, ,12.8, , 81, , 7, ,060, , , ,30.12, , , , , ,30.14, ,AA, , , ,30.14,
94702,20141002,2252,11,OVC019, ,10.00, , , ,59, ,15.0, ,56, ,13.4, ,54, ,12.2, , 84, , 8, ,060, , , ,30.13, , , , , ,30.15, ,AA, , , ,30.15,
94702,20141002,2352,11,OVC019, ,10.00, , , ,58, ,14.4, ,55, ,12.9, ,53, ,11.7, , 84, ,10, ,060, , , ,30.11, , , , , ,30.13, ,AA, , , ,30.13,
94702,20141003,0013,11,SCT020, ,10.00, , , ,57, ,13.9, ,54, ,12.3, ,52, ,11.1, , 83, ,10, ,060, , , ,30.11, , , , , ,M, ,SP, , , ,30.13,
94702,20141003,0052,11,CLR, ,10.00, , , ,56, ,13.3, ,53, ,11.8, ,51, ,10.6, , 83, , 7, ,040, , , ,30.10, , , , , ,30.11, ,AA, , , ,30.12,
94702,20141003,0152,11,CLR, ,10.00, , , ,55, ,12.8, ,53, ,11.8, ,52, ,11.1, , 90, , 8, ,010, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141003,0252,11,CLR, ,10.00, , , ,54, ,12.2, ,52, ,11.0, ,50, ,10.0, , 86, , 6, ,340, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141003,0352,11,CLR, ,10.00, , , ,53, ,11.7, ,51, ,10.5, ,49, ,9.4, , 86, , 6, ,360, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11,
94702,20141003,0452,11,CLR, ,10.00, , , ,52, ,11.1, ,50, ,9.9, ,48, ,8.9, , 86, , 6, ,350, , , ,30.09, , , , , ,30.10, ,AA, , , ,30.11,
94702,20141003,0552,11,CLR, ,10.00, , , ,51, ,10.6, ,49, ,9.4, ,47, ,8.3, , 86, , 6, ,350, , , ,30.08, , , , , ,30.10, ,AA, , , ,30.10,
94702,20141003,0652,11,CLR, ,10.00, , , ,54, ,12.2, ,51, ,10.5, ,48, ,8.9, , 80, , 5, ,360, , , ,30.08, , , , , ,30.10, ,AA, , , ,30.10,
94702,20141003,0752,11,CLR, ,10.00, , , ,58, ,14.4, ,53, ,11.5, ,48, ,8.9, , 70, , 9, ,030, , , ,30.08, , , , , ,30.09, ,AA, , , ,30.10,
94702,20141003,0852,11,CLR, ,10.00, , , ,61, ,16.1, ,55, ,12.5, ,49, ,9.4, , 65, , 8, ,060, , , ,30.07, , , , , ,30.09, ,AA, , , ,30.09,
94702,20141003,0952,11,CLR, ,10.00, , , ,63, ,17.2, ,55, ,13.0, ,49, ,9.4, , 60, , 9, ,080, , , ,30.05, , , , , ,30.07, ,AA, , , ,30.07,
94702,20141003,1052,11,CLR, ,10.00, , , ,62, ,16.7, ,56, ,13.3, ,51, ,10.6, , 67, , 8, ,130, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.05,
94702,20141003,1152,11,CLR, ,10.00, , , ,64, ,17.8, ,57, ,14.0, ,52, ,11.1, , 65, ,10, ,150, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03,
94702,20141003,1252,11,CLR, ,10.00, , , ,64, ,17.8, ,58, ,14.3, ,53, ,11.7, , 68, ,11, ,120, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01,
94702,20141003,1352,11,CLR, ,10.00, , , ,64, ,17.8, ,58, ,14.3, ,53, ,11.7, , 68, ,11, ,120, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99,
94702,20141003,1452,11,CLR, ,10.00, , , ,65, ,18.3, ,58, ,14.5, ,53, ,11.7, , 65, , 9, ,120, , , ,29.96, , , , , ,29.98, ,AA, , , ,29.98,
94702,20141003,1552,11,CLR, ,10.00, , , ,64, ,17.8, ,58, ,14.3, ,53, ,11.7, , 68, ,11, ,100, , , ,29.95, , , , , ,29.97, ,AA, , , ,29.97,
94702,20141003,1652,11,CLR, ,10.00, , , ,63, ,17.2, ,57, ,13.8, ,52, ,11.1, , 68, , 7, ,110, , , ,29.95, , , , , ,29.96, ,AA, , , ,29.97,
94702,20141003,1752,11,CLR, ,10.00, , , ,62, ,16.7, ,56, ,13.6, ,52, ,11.1, , 70, , 7, ,120, , , ,29.93, , , , , ,29.95, ,AA, , , ,29.95,
94702,20141003,1852,11,CLR, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 9, ,150, , , ,29.92, , , , , ,29.93, ,AA, , , ,29.94,
94702,20141003,1950,11,BKN020, ,10.00, , , ,61, ,16.0, ,57, ,13.9, ,54, ,12.0, , 78, , 7, ,140, , , ,29.91, , , , , ,M, ,SP, , , ,29.93,
94702,20141003,1952,11,BKN020, ,10.00, , , ,60, ,15.6, ,56, ,13.4, ,53, ,11.7, , 78, , 9, ,140, , , ,29.91, , , , , ,29.93, ,AA, , , ,29.93,
94702,20141003,2052,11,OVC023, ,10.00, , , ,61, ,16.1, ,57, ,13.9, ,54, ,12.2, , 78, ,10, ,130, , , ,29.90, , , , , ,29.91, ,AA, , , ,29.92,
94702,20141003,2152,11,OVC025, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 8, ,160, , , ,29.89, , , , , ,29.91, ,AA, , , ,29.91,
94702,20141003,2252,11,OVC026, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 8, ,140, , , ,29.85, , , , , ,29.87, ,AA, , , ,29.87,
94702,20141003,2352,11,OVC025, ,10.00, , , ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, , 78, , 8, ,130, , , ,29.84, , , , , ,29.86, ,AA, , , ,29.86,
94702,20141004,0052,11,SCT018 BKN024 OVC029, ,10.00, , , ,62, ,16.7, ,59, ,14.7, ,56, ,13.3, , 81, ,11, ,120, , , ,29.82, , , , , ,29.83, ,AA, , , ,29.84,
94702,20141004,0152,11,FEW014 OVC025, ,10.00, , , ,62, ,16.7, ,59, ,14.7, ,56, ,13.3, , 81, ,10, ,130, , , ,29.79, , , , , ,29.81, ,AA, , , ,29.81,
94702,20141004,0252,11,BKN018 OVC026, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, ,13, ,120, , , ,29.77, , , , , ,29.79, ,AA, , , ,29.79,
94702,20141004,0352,11,OVC017, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, ,13, ,120, , , ,29.75, , , , , ,29.77, ,AA, , , ,29.77,
94702,20141004,0452,11,FEW016 BKN022 OVC032, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, ,15, ,110, , , ,29.73, , , , , ,29.75, ,AA, ,  T, ,29.75,
94702,20141004,0552,11,BKN015 OVC022, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, ,15, ,110, , , ,29.72, , , , , ,29.73, ,AA, , , ,29.74,
94702,20141004,0637,11,BKN013 OVC020, , 6.00, ,-RA BR, ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, ,14, ,110, , , ,29.70, , , , , ,M, ,SP, , , ,29.72,
94702,20141004,0652,11,OVC014, ,10.00, , , ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, ,17, ,120, , , ,29.70, , , , , ,29.72, ,AA, ,  T, ,29.72,
94702,20141004,0705,11,OVC015, , 9.00, ,-RA, ,62, ,16.7, ,60, ,15.6, ,59, ,15.0, , 90, ,15, ,110, , , ,29.69, , , , , ,M, ,SP, , , ,29.71,
94702,20141004,0720,11,OVC013, , 9.00, , , ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, ,17, ,110, ,24, ,29.69, , , , , ,M, ,SP, , , ,29.71,
94702,20141004,0752,11,OVC012, , 7.00, ,-RA, ,62, ,16.7, ,60, ,15.6, ,59, ,15.0, , 90, ,16, ,110, ,25, ,29.68, , , , , ,29.70, ,AA, ,  T, ,29.70,
94702,20141004,0852,11,OVC012, ,10.00, , , ,63, ,17.2, ,61, ,16.2, ,60, ,15.6, , 90, ,17, ,120, ,28, ,29.64, , , , , ,29.66, ,AA, ,0.02, ,29.66,
94702,20141004,0952,11,OVC012, ,10.00, , , ,64, ,17.8, ,62, ,16.7, ,61, ,16.1, , 90, ,16, ,120, ,29, ,29.61, , , , , ,29.62, ,AA, , , ,29.63,
94702,20141004,1046,11,OVC011, , 1.75, ,+RA BR, ,64, ,18.0, ,62, ,16.7, ,61, ,16.0, , 90, ,20, ,120, ,28, ,29.58, , , , , ,M, ,SP, , , ,29.60,
